CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,CRN_Attributes
23874,ACAD,1101,1,Fall,2021,EXPLORATION FOR THE UNDECIDED,,,,,,,,
25959,ACAD,1101,1,Fall,2021,EXPLORATION FOR THE UNDECIDED,"Williams, Robyn",MW,1200,1250,,,,
24735,ACAD,1103,1,Fall,2021,ACADEMIC STRATEGIES,"Baldwin, Amy G",MW,800,850,,,,
24736,ACAD,1103,1,Fall,2021,ACADEMIC STRATEGIES,"Baldwin, Amy G",MW,800,850,,,,
22500,ACAD,1300,3,Fall,2021,JOURNEYS TO SUCCESS,"Mays, Victoria A",MWF,1000,1050,,,,"1F01,1R01"
22501,ACAD,1300,3,Fall,2021,JOURNEYS TO SUCCESS,"Dickinson, Leila E",MWF,1200,1250,,,,"1F01,1R01"
22502,ACAD,1300,3,Fall,2021,JOURNEYS TO SUCCESS,"Lierley Harrison, Jennifer A",MWF,800,850,,,,"1F01,1R01"
22503,ACAD,1300,3,Fall,2021,JOURNEYS TO SUCCESS,"Baldwin, Amy G",TR,1050,1205,,,,"1F01,1R01"
22550,ACAD,1300,3,Fall,2021,JOURNEYS TO SUCCESS,"Graybeal, Lesley M",MWF,800,850,,,,"1F01,1R01"
22551,ACAD,1300,3,Fall,2021,JOURNEYS TO SUCCESS,"Mays, Victoria A",MWF,900,950,,,,"1F01,1R01"
22552,ACAD,1300,3,Fall,2021,JOURNEYS TO SUCCESS,"Peel, Christene R",MWF,1100,1150,,,,"1F01,1R01"
22554,ACAD,1300,3,Fall,2021,JOURNEYS TO SUCCESS,"Patel, Parisha P",MWF,1400,1450,,,,"1F01,1R01"
22555,ACAD,1300,3,Fall,2021,JOURNEYS TO SUCCESS,"Marbley, Karon M",MWF,1300,1350,,,,"1F01,1R01"
22556,ACAD,1300,3,Fall,2021,JOURNEYS TO SUCCESS,"DenHartog, Leigh A",MW,1500,1615,,,,"1F01,1R01"
