CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Category
50000,BIOL,1440,4,Fall,2023,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,W,1400,1650,OR
50001,BIOL,1440,4,Fall,2023,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,T,1440,1720,OR
50002,BIOL,1440,4,Fall,2023,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,R,1050,1330,OR
50003,BIOL,1440,4,Fall,2023,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,M,1300,1550,OR
50004,BIOL,1440,4,Fall,2023,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,T,1050,1330,OR
50005,CHEM,1450,4,Fall,2023,COLLEGE CHEMISTRY I,"Long, Makenzie R",TR,1050,1205,T,1440,1720,RS
50006,CHEM,1450,4,Fall,2023,COLLEGE CHEMISTRY I,"Barber, Kevin N",T,1050,1330,MW,1500,1615,RS
50007,CHEM,1450,4,Fall,2023,COLLEGE CHEMISTRY I,,,,,,,,RS
50008,CHEM,1450,4,Fall,2023,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,W,1400,1650,RS
50009,CHEM,1450,4,Fall,2023,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1050,1330,RS
50010,CHEM,1450,4,Fall,2023,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1440,1720,RS
50011,CHEM,1450,4,Fall,2023,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1100,1350,RS
50012,CHEM,1450,4,Fall,2023,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1400,1650,RS
50013,CSCI,1470,4,Fall,2023,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1400,1550,RM
50014,CSCI,1470,4,Fall,2023,COMPUTER SCIENCE I,,MWF,1300,1350,F,1400,1550,RM
50015,CSCI,1470,4,Fall,2023,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1200,1350,RM
50016,CSCI,1470,4,Fall,2023,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1100,1150,W,1200,1350,RM
50017,CSCI,1470,4,Fall,2023,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1200,1250,F,1300,1450,RM
50018,CSCI,1480,4,Fall,2023,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1000,1050,M,1200,1350,RM
50019,CSCI,1480,4,Fall,2023,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1000,1050,W,1200,1350,RM
50020,CSCI,1480,4,Fall,2023,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1300,1350,M,1400,1550,RM
50021,CSCI,1480,4,Fall,2023,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1300,1350,W,1400,1550,RM
50022,CSCI,2310,3,Fall,2023,INTRODUCTION TO DATA SCIENCE,"Talley, Patricia M",MWF,1300,1350,,,,EL
50023,CSCI,2320,3,Fall,2023,DATA STRUCTURES,"Talley, Patricia M",MWF,900,950,,,,RM
50024,CSCI,2320,3,Fall,2023,DATA STRUCTURES,"Talley, Patricia M",MWF,1400,1450,,,,RM
50025,CSCI,2330,3,Fall,2023,DISCRETE MATHEMATICS,"Hu, Chenyi",MWF,900,950,,,,RM
50026,CSCI,2330,3,Fall,2023,DISCRETE MATHEMATICS,"Hu, Chenyi",MWF,1600,1650,,,,RM
50027,CSCI,2335,3,Fall,2023,NETWORKING,"Erdin, Enes",TR,800,915,,,,RM
50028,CSCI,2335,3,Fall,2023,NETWORKING,"Erdin, Enes",TR,925,1040,,,,RM
50029,CSCI,2340,3,Fall,2023,ASSEMBLY LANGUAGE PROGRAMMING,"Talley, Patricia M",MWF,1100,1150,,,,EL
50030,CSCI,2340,3,Fall,2023,ASSEMBLY LANGUAGE PROGRAMMING,"Talley, Patricia M",MWF,1000,1050,,,,EL
50031,CSCI,3330,3,Fall,2023,ALGORITHMS,"Hu, Chenyi",MWF,1100,1150,,,,RM
50032,CSCI,3360,3,Fall,2023,DATABASE SYSTEMS,"Chen, Bernard",TR,1050,1205,,,,RM
50033,CSCI,3360,3,Fall,2023,DATABASE SYSTEMS,"Chen, Bernard",TR,1215,1330,,,,RM
