CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,CRN_Attributes
43874,ACAD,1101,1,Spring,2021,EXPLORATION FOR THE UNDECIDED,,,,,,,,
45959,ACAD,1101,1,Spring,2021,EXPLORATION FOR THE UNDECIDED,"Williams, Robyn",MW,1200,1250,,,,
44735,ACAD,1103,1,Spring,2021,ACADEMIC STRATEGIES,"Baldwin, Amy G",MW,800,850,,,,
44736,ACAD,1103,1,Spring,2021,ACADEMIC STRATEGIES,"Baldwin, Amy G",MW,800,850,,,,
42500,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Mays, Victoria A",MWF,1000,1050,,,,"1F01,1R01"
42501,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Dickinson, Leila E",MWF,1200,1250,,,,"1F01,1R01"
42502,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Lierley Harrison, Jennifer A",MWF,800,850,,,,"1F01,1R01"
42503,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Baldwin, Amy G",TR,1050,1205,,,,"1F01,1R01"
42550,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Graybeal, Lesley M",MWF,800,850,,,,"1F01,1R01"
42551,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Mays, Victoria A",MWF,900,950,,,,"1F01,1R01"
42552,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Peel, Christene R",MWF,1100,1150,,,,"1F01,1R01"
42554,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Patel, Parisha P",MWF,1400,1450,,,,"1F01,1R01"
42555,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Marbley, Karon M",MWF,1300,1350,,,,"1F01,1R01"
42556,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"DenHartog, Leigh A",MW,1500,1615,,,,"1F01,1R01"
42557,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Eslinger, Nadia C",TR,800,915,,,,"1F01,1R01"
42558,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Ingram, Dedrick",TR,925,1040,,,,"1F01,1R01"
42559,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Olds, Carl B",MWF,1200,1250,,,,"1F01,1R01"
42561,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Lierley Harrison, Jennifer A",MWF,900,950,,,,"1F01,1R01"
42562,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Baldwin, Amy G",TR,800,915,,,,"1F01,1R01"
42563,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Ingram, Dedrick",MWF,1200,1250,,,,"1F01,1R01"
42564,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Ruud, Jennifer E",TR,1215,1330,,,,"1F01,1R01"
42565,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Lea, Cynthia R",MWF,900,950,,,,"1F01,1R01"
42607,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Lierley Harrison, Jennifer A",MWF,1000,1050,,,,"1F01,1R01"
42608,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Awbrey, Tachia M",MWF,800,850,,,,"1F01,1R01"
42611,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Olds, Carl B",TR,1215,1330,,,,"1F01,1R01"
42612,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Brezee, Scott S",MWF,1100,1150,,,,"1F01,1R01"
42613,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
42614,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
42615,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Wilson, Amber S",TR,800,915,,,,"1F01,1R01"
42616,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Peten, Audreka J",MWF,1300,1350,,,,"1F01,1R01"
42617,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
42618,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Hicks, Ashley J",MWF,1300,1350,,,,"1F01,1R01"
42619,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
42620,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
42934,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Patel, Parisha P",MWF,1000,1050,,,,"1F01,1R01"
43142,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Moseley, Louisa",MWF,1000,1050,,,,"1F01,1R01"
43143,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Moseley, Louisa",MWF,1100,1150,,,,"1F01,1R01"
43259,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Baldwin, Amy G",TR,925,1040,,,,"1F01,1R01"
43261,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
43283,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
43299,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
43308,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
43312,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
43381,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Eslinger, Nadia C",TR,1050,1205,,,,"1F01,1R01"
44002,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Olds, Carl B",MWF,1300,1350,,,,"1F01,1R01"
44003,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Awbrey, Tachia M",TR,1440,1555,,,,"1F01,1R01"
44008,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Massey, Marsha D",MWF,1100,1150,,,,"1F01,1R01"
44175,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
44240,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
44251,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Bruce, Amanda E",MW,1500,1615,,,,"1F01,1R01"
44538,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Thomas, Allen D",MW,1000,1115,,,,"1F01,1R01"
45076,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Thiers, Geoffrey W",MWF,1100,1150,,,,"1F01,1R01"
45373,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Gardner, Adriian F",TR,1215,1330,,,,"1F01,1R01"
45551,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Ingram, Dedrick",MW,1605,1720,,,,"1F01,1R01"
45578,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,,,,,,,,"1F01,1R01"
45878,ACAD,1300,3,Spring,2021,JOURNEYS TO SUCCESS,"Thiers, Geoffrey W",MWF,1000,1050,,,,"1F01,1R01"
43876,ACAD,3101,1,Spring,2021,CAREER AND LIFE PLANNING,"Williams, Robyn",MW,1200,1250,,,,
30043,ACCT,2310,3,Spring,2021,PRINC OF FINANCIAL ACCT,"Nelson, Steven K",MWF,1000,1050,,,,"5I01,BPRQ,CBCF"
30105,ACCT,2310,3,Spring,2021,PRINCIPLES ACCOUNTING I online,"Phillips, Ashley D",,0,2359,,,,"BPRQ,CBCF"
38873,ACCT,2310,3,Spring,2021,PRINC OF FINANCIAL ACCT,"Young, Laura J",TR,1215,1330,,,,"5I01,BPRQ,CBCF"
42343,ACCT,2310,3,Spring,2021,PRINC OF FINANCIAL ACCT,"Nelson, Steven K",MWF,900,950,,,,"5I01,BPRQ,CBCF"
42350,ACCT,2310,3,Spring,2021,PRINC OF FINANCIAL ACCT,"Nelson, Steven K",MW,1330,1445,F,1330,1445,"5I01,BPRQ,CBCF"
42354,ACCT,2310,3,Spring,2021,PRINC OF FINANCIAL ACCT,,,,,,,,"5I01,CBCF"
44331,ACCT,2310,3,Spring,2021,PRINC OF FINANCIAL ACCT,"Young, Laura J",TR,1050,1205,,,,"5I01,BPRQ,CBCF"
44615,ACCT,2310,3,Spring,2021,PRINCIPLES ACCOUNTING I online,"Schrock, John T",,0,2359,,,,"BPRQ,CBCF"
30118,ACCT,2311,3,Spring,2021,Princ. of Accounting II online,"McKnight, Constance A",,0,2359,,,,"BPRQ,CBCF"
30126,ACCT,2311,3,Spring,2021,PRINCIPLES OF ACCOUNTING II,,,,,,,,CBCF
30134,ACCT,2311,3,Spring,2021,Principles of Accounting II,"Simer, Joshua L",TR,1215,1330,,,,"BPRQ,CBCF"
40595,ACCT,2311,3,Spring,2021,PRINCIPLES OF ACCOUNTING II,"Cating, Ryan C",MWF,1000,1050,,,,"BPRQ,CBCF"
42337,ACCT,2311,3,Spring,2021,PRINCIPLES OF ACCOUNTING II,"Cating, Ryan C",MWF,1100,1150,,,,"BPRQ,CBCF"
42368,ACCT,2311,3,Spring,2021,PRINCIPLES OF ACCOUNTING II,"Ma, Mengyu",MW,1330,1445,F,1330,1445,"BPRQ,CBCF"
45310,ACCT,2311,3,Spring,2021,PRINCIPLES OF ACCOUNTING II,"McKnight, Constance A",,0,2359,,,,"BPRQ,CBCF"
45469,ACCT,2311,3,Spring,2021,PRINCIPLES OF ACCOUNTING II,"Ma, Mengyu",MWF,800,850,,,,"BPRQ,CBCF"
30186,ACCT,2321,3,Spring,2021,LEGAL ENVIRONMENT BUSINESS I,"Courtway, Thomas C",MWF,1100,1150,,,,CBCF
30214,ACCT,2321,3,Spring,2021,LEGAL ENVIRONMENT BUSINESS I,"McMullen, Anthony L",TR,925,1040,,,,CBCF
30221,ACCT,2321,3,Spring,2021,LEGAL ENVIRONMENT I online,"McMullen, Anthony L",,0,2359,,,,CBCF
42052,ACCT,2321,3,Spring,2021,LEGAL ENVIRONMENT BUSINESS I,"Courtway, Thomas C",MWF,900,950,,,,CBCF
42053,ACCT,2321,3,Spring,2021,LEGAL ENVIRONMENT of BUSINESS,"Courtway, Thomas C",MWF,1000,1050,,,,CBCF
42056,ACCT,2321,3,Spring,2021,LEGAL ENVIRONMENT BUSINESS I,"McMullen, Anthony L",TR,1050,1205,,,,CBCF
38779,ACCT,2376,3,Spring,2021,BUSINESS LAW for ENTREPRENEURS,"Bell, Richard L",TR,800,915,,,,CBCF
30231,ACCT,3311,3,Spring,2021,INTERMEDIATE ACCOUNTING I,"Oxner, Karen M",TR,925,1040,,,,CBCF
42602,ACCT,3311,3,Spring,2021,INTERMEDIATE ACCOUNTING I,"Oxner, Karen M",,0,2359,,,,CBCF
30245,ACCT,3312,3,Spring,2021,INTERMEDIATE ACCOUNTING II,"Young, Laura J",TR,800,915,,,,CBCF
43963,ACCT,3315,3,Spring,2021,COST ACCOUNTING,"Ma, Mengyu",MWF,900,950,,,,CBCF
30262,ACCT,3316,3,Spring,2021,INDIVIDUAL TAXATION,"Simer, Joshua L",TR,1050,1205,,,,CBCF
42583,ACCT,3316,3,Spring,2021,INDIVIDUAL TAXATION,"Simer, Joshua L",,0,2359,,,,CBCF
30277,ACCT,3320,3,Spring,2021,ACCOUNTING INFORMATION SYSTEMS,"Watson, Stephanie F",MWF,1100,1150,,,,CBCF
44641,ACCT,3V82,3,Spring,2021,INTERNSHIP IN ACCOUNTING,"Watson, Stephanie F",,0,2359,,,,CBCF
30292,ACCT,4304,3,Spring,2021,GOVERNMENT/NONPROFIT ACCT,"Lee, Sherelle A",TR,925,1040,,,,"BBAW,CBCF,PAPM"
42586,ACCT,4305,3,Spring,2021,ESTATE PLANNING,"Courtway, Thomas C",M,1500,1615,,,,CBCF
30301,ACCT,4312,3,Spring,2021,ADVANCED ACCOUNTING Online,"Wu, Qifeng",,0,2359,,,,CBCF
30309,ACCT,4315,3,Spring,2021,ADVANCED COST ACCOUNTING,"McKnight, Constance A",TR,1215,1330,,,,"BBAC,CBCF"
30314,ACCT,4316,3,Spring,2021,ADVANCED INCOME TAX,"Phillips, Ashley D",TR,1050,1205,,,,CBCF
30321,ACCT,4317,3,Spring,2021,AUDITING,"Cating, Ryan C",MWF,800,850,,,,"2C01,CBCF"
42055,ACCT,4390,3,Spring,2021,SPECIAL PROBLEMS,"Watson, Stephanie F",,1200,1315,,,,CBCF
44643,ACCT,4V82,3,Spring,2021,INTERNSHIP IN ACCOUNTING,"Watson, Stephanie F",,0,2359,,,,CBCF
