CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Category
12424,BIOL,1440,4,Spring,2023,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,W,1400,1650,OR
12425,BIOL,1440,4,Spring,2023,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,T,1440,1720,OR
12430,BIOL,1440,4,Spring,2023,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,R,1050,1330,OR
12433,BIOL,1440,4,Spring,2023,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,M,1300,1550,OR
12437,BIOL,1440,4,Spring,2023,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,T,1050,1330,OR
10259,CHEM,1450,4,Spring,2023,COLLEGE CHEMISTRY I,"Long, Makenzie R",TR,1050,1205,T,1440,1720,RS
10303,CHEM,1450,4,Spring,2023,COLLEGE CHEMISTRY I,"Barber, Kevin N",T,1050,1330,MW,1500,1615,RS
10319,CHEM,1450,4,Spring,2023,COLLEGE CHEMISTRY I,,,,,,,,RS
13060,CHEM,1450,4,Spring,2023,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,W,1400,1650,RS
14234,CHEM,1450,4,Spring,2023,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1050,1330,RS
16881,CHEM,1450,4,Spring,2023,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1440,1720,RS
19159,CHEM,1450,4,Spring,2023,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1100,1350,RS
19186,CHEM,1450,4,Spring,2023,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1400,1650,RS
11014,CSCI,1470,4,Spring,2023,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1400,1550,RM
11019,CSCI,1470,4,Spring,2023,COMPUTER SCIENCE I,,MWF,1300,1350,F,1400,1550,RM
11063,CSCI,1470,4,Spring,2023,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1200,1350,RM
14344,CSCI,1470,4,Spring,2023,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1100,1150,W,1200,1350,RM
17943,CSCI,1470,4,Spring,2023,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1200,1250,F,1300,1450,RM
11100,CSCI,1480,4,Spring,2023,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1000,1050,M,1200,1350,RM
13029,CSCI,1480,4,Spring,2023,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1000,1050,W,1200,1350,RM
20393,CSCI,1480,4,Spring,2023,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1300,1350,M,1400,1550,RM
22426,CSCI,1480,4,Spring,2023,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1300,1350,W,1400,1550,RM
25394,CSCI,2310,3,Spring,2023,INTRODUCTION TO DATA SCIENCE,"Talley, Patricia M",MWF,1300,1350,,,,EL
16990,CSCI,2320,3,Spring,2023,DATA STRUCTURES,"Talley, Patricia M",MWF,900,950,,,,RM
22103,CSCI,2320,3,Spring,2023,DATA STRUCTURES,"Talley, Patricia M",MWF,1400,1450,,,,RM
24731,CSCI,2330,3,Spring,2023,DISCRETE MATHEMATICS,"Hu, Chenyi",MWF,900,950,,,,RM
25418,CSCI,2330,3,Spring,2023,DISCRETE MATHEMATICS,"Hu, Chenyi",MWF,1600,1650,,,,RM
25391,CSCI,2335,3,Spring,2023,NETWORKING,"Erdin, Enes",TR,800,915,,,,RM
25392,CSCI,2335,3,Spring,2023,NETWORKING,"Erdin, Enes",TR,925,1040,,,,RM
23687,CSCI,2340,3,Spring,2023,ASSEMBLY LANGUAGE PROGRAMMING,"Talley, Patricia M",MWF,1100,1150,,,,EL
23967,CSCI,2340,3,Spring,2023,ASSEMBLY LANGUAGE PROGRAMMING,"Talley, Patricia M",MWF,1000,1050,,,,EL
22104,CSCI,3330,3,Spring,2023,ALGORITHMS,"Hu, Chenyi",MWF,1100,1150,,,,RM
11203,CSCI,3360,3,Spring,2023,DATABASE SYSTEMS,"Chen, Bernard",TR,1050,1205,,,,RM
17942,CSCI,3360,3,Spring,2023,DATABASE SYSTEMS,"Chen, Bernard",TR,1215,1330,,,,RM
